scheduler,arrival_mode,n,card_cv_mean,card_cv_ci95,card_jfi_mean,card_jfi_ci95,card_lif_mean,card_lif_ci95,max_min_ratio_mean,max_min_ratio_ci95,avg_load_imbalance_mean,avg_load_imbalance_ci95,completion_rate_mean,completion_rate_ci95,throughput_mean,throughput_ci95,throughput_excl_cold_mean,throughput_excl_cold_ci95,mean_cold_start_mean,mean_cold_start_ci95,p99_delay_mean,p99_delay_ci95,avg_delay_mean,avg_delay_ci95,p99_delay_excl_cold_mean,p99_delay_excl_cold_ci95,avg_delay_excl_cold_mean,avg_delay_excl_cold_ci95,avg_congestion_ratio_mean,avg_congestion_ratio_ci95,congested_card_tick_frac_mean,congested_card_tick_frac_ci95,mean_congestion_wait_ticks_mean,mean_congestion_wait_ticks_ci95,p95_congestion_wait_ticks_mean,p95_congestion_wait_ticks_ci95,avg_utilization_mean,avg_utilization_ci95,peak_backlog_mean,peak_backlog_ci95,time_card_cv_mean_mean,time_card_cv_mean_ci95,time_card_cv_max_mean,time_card_cv_max_ci95,time_card_jfi_mean_mean,time_card_jfi_mean_ci95,time_card_lif_mean_mean,time_card_lif_mean_ci95,time_card_lif_max_mean,time_card_lif_max_ci95,time_card_max_min_ratio_mean_mean,time_card_max_min_ratio_mean_ci95,time_card_load_variance_mean_mean,time_card_load_variance_mean_ci95,completed_tasks_mean,completed_tasks_ci95,tail_count_mean,tail_count_ci95,tail_frac_mean,tail_frac_ci95,max_delay_mean,max_delay_ci95,avg_delay_above_p99_mean,avg_delay_above_p99_ci95,max_delay_excl_cold_mean,max_delay_excl_cold_ci95,eff_tail_count_mean,eff_tail_count_ci95,eff_tail_frac_mean,eff_tail_frac_ci95,eff_avg_delay_above_p99_mean,eff_avg_delay_above_p99_ci95
rr,poisson,5,0.4490733056338629,0.009054864240576596,0.8241425686274648,0.00524402567562679,1.5687229792472188,0.016351329029397697,4.270975687348422,0.16140494619890702,59948515023.74469,1535420918.6137211,1.0,0.0,1.5278896798805681,0.0029178773715911434,1.5278896798805681,0.0029178773715911434,0.0,0.0,15.0,0.0,5.28575,0.0031566041880475683,15.0,0.0,5.28575,0.0031566041880475683,0.1325589906699785,0.0019787497834081406,0.33064388502866193,0.008942654490598518,1.42275,0.0250140080754764,4.0,0.0,0.6397392163638261,0.006814384045466347,2836153.89375,71097.99594340194,0.4979071134990748,0.00801529790315279,0.5294748184839585,0.016771908671493578,0.8012257421639898,0.005129509925390022,1.5663056184636226,0.01821406189399142,1.6512873981613707,0.05698943381894874,41.43090232991483,14.239201945801671,81860615764.45023,1434008435.5036194,800,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
rr,bursty,5,0.4737802194895422,0.01743920363923258,0.8013524570298008,0.010155462768330684,1.6444437746928215,0.025020979423542717,4.745446334808978,0.3744440994207453,48879310130.4636,633416437.8896166,1.0,0.0,1.5255721626709102,0.00530607111287275,1.5255721626709102,0.00530607111287275,0.0,0.0,15.8,1.5679999999999998,5.48525,0.18512729161309519,15.8,1.5679999999999998,5.48525,0.18512729161309519,0.1431638495766361,0.011248926327529057,0.3449046506296494,0.021004523703594534,1.7770000000000001,0.08224705101096329,4.2,0.39199999999999996,0.6041175538643411,0.015513905471839484,2905824.526953125,227783.86103774354,0.5904230470003038,0.022341665446334546,0.6330370304234056,0.01876177519483328,0.7415233666336823,0.014470477820255229,1.657982003551073,0.0433598556525948,1.7284427960490978,0.06363797768960362,65.61933925130718,5.138830319139816,102807062077.60338,5036386687.064153,800,0.0,2.4,1.8176292251171577,0.003,0.002272036531396447,19.4,2.2857331427793577,18.733333333333334,1.7488111517383589,19.4,2.2857331427793577,2.4,1.8176292251171577,0.003,0.002272036531396447,18.733333333333334,1.7488111517383589
rr,mixed,5,0.44206206772692325,0.016096492509281468,0.8272455226826407,0.008025985027635215,1.567517609200722,0.02694324181221029,4.278670305074494,0.20637796183426158,51091070187.14946,1341305094.1386237,1.0,0.0,1.5398717565238222,0.018314613171532282,1.5398717565238222,0.018314613171532282,0.0,0.0,15.0,0.0,5.2955,0.00493661321150439,15.0,0.0,5.2955,0.00493661321150439,0.13861795436474741,0.008032317297964168,0.34634712079612584,0.018773544976557716,1.5295,0.05578580599041301,3.8,0.39199999999999996,0.6448322326700163,0.018662428139399504,2891058.396875,103186.80869070766,0.5173033249808087,0.021738905374475877,0.535852262214318,0.021104910697657277,0.7888029719176483,0.013946764782227733,1.5532243447111773,0.0444887973478263,1.6006644739651648,0.056807489885855385,62.590980997407165,6.020351205162799,89845846465.17665,2915577948.4662023,800,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
bestfit,poisson,5,0.3699099868777451,0.008601677845351954,0.8687739329162547,0.00496328361784697,1.4887291872185062,0.015520923149362108,4.334983591068892,0.59563648265032,44263204847.6685,940716328.4998579,1.0,0.0,1.5278896798805681,0.0029178773715911434,1.5278896798805681,0.0029178773715911434,0.0,0.0,15.0,0.0,5.3135,0.0058697827898484345,15.0,0.0,5.3135,0.0058697827898484345,0.1093165336902308,0.0028677994534364705,0.2917074773846045,0.007661464946163344,1.05925,0.0429316625580701,3.0,0.0,0.6505032975289873,0.0066825012753037715,2501151.828125,72564.74320495913,0.4436627370159497,0.010952363012746786,0.4891503442139261,0.021499475156384857,0.8351594886293147,0.006821738308284784,1.5386874128188828,0.01633824654455572,1.5902150364005478,0.02519706279287609,57.29302142992672,12.264060382194174,67845992489.380455,2129092088.184295,800,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
bestfit,bursty,5,0.4166825904954451,0.011840831269972612,0.8322842115030137,0.005617946901398542,1.5552511168910266,0.01828807116857289,5.364246152977808,0.4293241326957568,41006969250.228355,1708887949.7258592,1.0,0.0,1.5255721626709102,0.00530607111287275,1.5255721626709102,0.00530607111287275,0.0,0.0,15.8,1.5679999999999998,5.5465,0.16846916884106727,15.8,1.5679999999999998,5.5465,0.16846916884106727,0.12509579164302037,0.011280099510208893,0.32963735694890073,0.022675548292923137,1.4915,0.07361587532591049,3.4,0.4800999895855029,0.6144998693596694,0.015341226183000415,3024948.8259765627,113251.60615045913,0.5606958476312531,0.015606966542776046,0.6147634636090749,0.00531003737539974,0.7607331525655369,0.010055513490369114,1.6300075769177018,0.04116584245030787,1.6892304330340175,0.04251098225652788,68.33207848694369,1.6230517181217858,96096856509.13156,2973917977.453692,800,0.0,2.6,1.8176292251171577,0.00325,0.002272036531396447,19.0,2.055665342413497,18.433333333333334,1.7939919484521416,19.0,2.055665342413497,2.6,1.8176292251171577,0.00325,0.002272036531396447,18.433333333333334,1.7939919484521416
bestfit,mixed,5,0.37704882857378913,0.019129166492541143,0.8605413208821588,0.009862151213784916,1.4961054358322465,0.03094921206805147,4.8170604942201996,0.4941469439566632,40395853052.781624,790120636.8768218,1.0,0.0,1.5398717565238222,0.018314613171532282,1.5398717565238222,0.018314613171532282,0.0,0.0,15.0,0.0,5.3395,0.00803659753875984,15.0,0.0,5.3395,0.00803659753875984,0.11641135390579906,0.006017056342015189,0.32144459837165157,0.01789416690406525,1.1864999999999999,0.031550825662730306,3.0,0.0,0.6537740610066854,0.019197499974715773,2797164.940625,161914.50461235308,0.485846244940389,0.021778168510507304,0.5368464833528004,0.03082751581918929,0.8087006182168244,0.013764301589281481,1.5323829011471548,0.04370632275682893,1.5983856364255666,0.04403316039235052,63.02032084141073,5.376736771413814,81806478397.19221,3204264036.5330186,800,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
drf,poisson,5,0.3699099868777451,0.008601677845351954,0.8687739329162547,0.00496328361784697,1.4887291872185062,0.015520923149362108,4.334983591068892,0.59563648265032,44263204847.6685,940716328.4998579,1.0,0.0,1.5278896798805681,0.0029178773715911434,1.5278896798805681,0.0029178773715911434,0.0,0.0,15.0,0.0,5.3135,0.0058697827898484345,15.0,0.0,5.3135,0.0058697827898484345,0.1093165336902308,0.0028677994534364705,0.2917074773846045,0.007661464946163344,1.05925,0.0429316625580701,3.0,0.0,0.6505032975289873,0.0066825012753037715,2501151.828125,72564.74320495913,0.4436627370159497,0.010952363012746786,0.4891503442139261,0.021499475156384857,0.8351594886293147,0.006821738308284784,1.5386874128188828,0.01633824654455572,1.5902150364005478,0.02519706279287609,57.29302142992672,12.264060382194174,67845992489.380455,2129092088.184295,800,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
drf,bursty,5,0.4166825904954451,0.011840831269972612,0.8322842115030137,0.005617946901398542,1.5552511168910266,0.01828807116857289,5.364246152977808,0.4293241326957568,41006969250.228355,1708887949.7258592,1.0,0.0,1.5255721626709102,0.00530607111287275,1.5255721626709102,0.00530607111287275,0.0,0.0,15.8,1.5679999999999998,5.5465,0.16846916884106727,15.8,1.5679999999999998,5.5465,0.16846916884106727,0.12509579164302037,0.011280099510208893,0.32963735694890073,0.022675548292923137,1.4915,0.07361587532591049,3.4,0.4800999895855029,0.6144998693596694,0.015341226183000415,3024948.8259765627,113251.60615045913,0.5606958476312531,0.015606966542776046,0.6147634636090749,0.00531003737539974,0.7607331525655369,0.010055513490369114,1.6300075769177018,0.04116584245030787,1.6892304330340175,0.04251098225652788,68.33207848694369,1.6230517181217858,96096856509.13156,2973917977.453692,800,0.0,2.6,1.8176292251171577,0.00325,0.002272036531396447,19.0,2.055665342413497,18.433333333333334,1.7939919484521416,19.0,2.055665342413497,2.6,1.8176292251171577,0.00325,0.002272036531396447,18.433333333333334,1.7939919484521416
drf,mixed,5,0.37704882857378913,0.019129166492541143,0.8605413208821588,0.009862151213784916,1.4961054358322465,0.03094921206805147,4.8170604942201996,0.4941469439566632,40395853052.781624,790120636.8768218,1.0,0.0,1.5398717565238222,0.018314613171532282,1.5398717565238222,0.018314613171532282,0.0,0.0,15.0,0.0,5.3395,0.00803659753875984,15.0,0.0,5.3395,0.00803659753875984,0.11641135390579906,0.006017056342015189,0.32144459837165157,0.01789416690406525,1.1864999999999999,0.031550825662730306,3.0,0.0,0.6537740610066854,0.019197499974715773,2797164.940625,161914.50461235308,0.485846244940389,0.021778168510507304,0.5368464833528004,0.03082751581918929,0.8087006182168244,0.013764301589281481,1.5323829011471548,0.04370632275682893,1.5983856364255666,0.04403316039235052,63.02032084141073,5.376736771413814,81806478397.19221,3204264036.5330186,800,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
p2c,poisson,5,0.48527178351904815,0.01885850378573715,0.8008965414644192,0.011186984114293407,1.578129493742573,0.020484127162948108,5.93192852435455,0.760112772194116,70217593006.56755,3366220135.9137955,1.0,0.0,1.5278896798805681,0.0029178773715911434,1.5278896798805681,0.0029178773715911434,0.0,0.0,15.0,0.0,5.28225,0.00195999999999998,15.0,0.0,5.28225,0.00195999999999998,0.12991056840337478,0.0023057754124141305,0.3391265462608461,0.009211145890477668,1.4849999999999999,0.033079536725897515,3.0,0.0,0.6381298523057789,0.0062130344361813784,2965384.84375,313453.31709830393,0.5326183628917914,0.01708411914957486,0.5833601273886371,0.024224872007572666,0.7788312174734231,0.010925471287104202,1.5707582149099457,0.015743634947435792,1.6512572949643014,0.048843708973197925,59.195331592795206,9.325128479685086,93129902982.43373,4700996432.308835,800,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
p2c,bursty,5,0.542124673072904,0.022758339373388236,0.7612114449932217,0.013248501802316322,1.7071205248743293,0.03446507040304069,5.542276857031032,0.7834884775656602,59815392858.02288,2417789798.1569204,1.0,0.0,1.5255721626709102,0.00530607111287275,1.5255721626709102,0.00530607111287275,0.0,0.0,15.8,1.5679999999999998,5.48675,0.18836437468374967,15.8,1.5679999999999998,5.48675,0.18836437468374967,0.1432201456996034,0.010555565412696744,0.3573897105059029,0.020359244743460826,1.86575,0.06519302224931743,4.2,0.39199999999999996,0.6011382574132159,0.015567228523405105,3220748.0759765627,164031.50018376118,0.6286063965297568,0.0223856129007802,0.6931191108088499,0.019546133733970836,0.7169508215729279,0.014403562668978668,1.669800440967269,0.043514736983409685,1.7972632883524708,0.05764733833397533,63.0966995510122,5.286388185398082,114781563964.02278,3945889209.5141354,800,0.0,3.2,1.5679999999999998,0.004,0.0019599999999999995,19.2,1.9002905041072007,18.3,1.9002905041072007,19.2,1.9002905041072007,3.2,1.5679999999999998,0.004,0.0019599999999999995,18.3,1.9002905041072007
p2c,mixed,5,0.48307717680967605,0.0325911789882112,0.8019234856069217,0.0166137767798077,1.5993911893608321,0.052025437356566805,5.275423812596429,0.9925799021249971,59920322688.921234,2656406706.7585025,1.0,0.0,1.5398717565238222,0.018314613171532282,1.5398717565238222,0.018314613171532282,0.0,0.0,15.0,0.0,5.288,0.0036831576127015096,15.0,0.0,5.288,0.0036831576127015096,0.1377227906001118,0.008909301204623543,0.3563707148226719,0.022087485657567758,1.60975,0.05805207662091002,3.8,0.39199999999999996,0.6393804975151254,0.019116068657152523,3064114.3759765625,312176.3493244928,0.5477548378366376,0.02643495316087132,0.6078425243286054,0.034620142944604144,0.769076557239408,0.016976911546055778,1.5679294889470778,0.046220164309935224,1.6566923232576651,0.05513105398765339,58.5406400348722,8.213101082285428,98898212505.86337,4109890311.937867,800,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
stps,poisson,5,0.37537927237311713,0.017225881972913127,0.8634920915286571,0.010235605542841234,1.457876610779405,0.022571685249984395,6.554542483530151,1.133744332471186,47927144874.478455,2174429230.744258,1.0,0.0,1.5238161707914304,0.0031219064353078187,1.5271599197409016,0.0031277944313579304,1.1495,0.005174084460075995,17.0,0.0,6.49075,0.01997313570774507,15.0,0.0,5.3412500000000005,0.015744943632798297,0.09961013233813586,0.003007360424729212,0.29873267270574727,0.0045065787262371865,0.9742500000000001,0.027288645074462756,3.0,0.0,0.6650300386249111,0.008243754331421908,2461783.734375,300890.8040728407,0.4493140271445848,0.015587348103246709,0.4798249247705952,0.01730342918690193,0.831773127296748,0.009713160714704018,1.5046784568185663,0.019395931998256524,1.5461521931279951,0.037039554890319286,63.0966995510122,5.286388185398082,72422214191.64609,3332554255.9165792,800,0.0,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
stps,bursty,5,0.4229131343467181,0.018764917184932988,0.8289312834563703,0.008923023495188516,1.5346574509541726,0.02763392420392706,7.701345013364821,1.2353225931735512,46904520783.29303,3570977047.90825,1.0,0.0,1.5220823827097805,0.004256376315837673,1.5252020590934594,0.004300820208987611,1.075,0.032714610650288946,18.0,1.9599999999999997,6.75025,0.238532885783072,16.203999999999997,2.350044086735397,5.67525,0.23348564270635566,0.1145909021187049,0.011386307164096793,0.3465545927220103,0.024903579573803167,1.38375,0.0771847216099145,3.2,0.39199999999999996,0.6302266539797537,0.016182922195737276,2541028.246875,218177.527116133,0.5531936331249631,0.017585323667238018,0.6107480124433653,0.026505609480408417,0.7655789435779967,0.011311534568194425,1.5894778148805622,0.04097530483851889,1.6653414414259726,0.05083660460101266,63.70730372777452,4.674990338652621,98162691220.78955,3081992248.9129376,800,0.0,5,1.639853652006788,0.00625,0.0020498170650084854,21.0,1.5182094717133072,19.682857142857145,1.875882981425014,19.6,2.200094543423077,6.4,1.592311527308648,0.008,0.0019903894091358103,17.992857142857144,2.3154450976000276
stps,mixed,5,0.38572401787218774,0.018675518372532767,0.8535546482862141,0.009621813516565214,1.4722724734240176,0.026858292200441385,6.387942413154865,0.651440917263044,45191376304.65475,1869678964.334986,1.0,0.0,1.5375541125541126,0.02019988214696187,1.541087181164854,0.02027996408672296,1.19275,0.025169502378871125,17.0,0.0,6.61425,0.046515171181024544,15.0,0.0,5.4215,0.02239305361043907,0.1087276984140066,0.007097481362127311,0.3375282456968934,0.022370057080683226,1.11225,0.05903127433826924,3.0,0.0,0.6597107342947389,0.020165491647199243,2524163.846875,243992.66446941262,0.5006514058845186,0.025320012730947826,0.5404615543110103,0.02952272090047531,0.7993039175155443,0.01599250946251605,1.5182291178062837,0.04549942657232478,1.5628525268890234,0.052277873179483285,67.50000164794926,0.0,88197084702.48138,4466626441.353023,800,0.0,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0
